ENGLISH,ARMENIAN,ROMANIZED
angle,անկյուն,ankyun
ant,մրջյուն,mrjyun
apple,խնձոր,khndzor
arch,կամար,kamar
wing,թև,t'ev
army,բանակ,banak
baby,երեխա,yerekha
bag,պայուսակ,payusak
ball,գնդակ,gndak
band,նվագախումբ,nvagakhumb
basin,ավազան,avazan
basket,զամբյուղ,zambyugh
bath,բաղնիք,baghnik'
bed,մահճակալ,mahchakal
bee,մեղու,meghu
bell,զանգ,zang
berry,հատապտուղ,hataptugh
bird,թռչուն,t'rrchun
board,տախտակ,takhtak
boat,նավակ,navak
bone,ոսկոր,voskor
book,գիրք,girk'
shoe,կոշիկ,koshik
bottle,շիշ,shish
box,տուփ,tup'
boy,տղա,tgha
brain,ուղեղ,ughegh
brake,արգելակ,argelak
branch,ճյուղ,chyugh
brick,աղյուս,aghyus
bridge,կամուրջ,kamurj
brush,խոզանակ,khozanak
bucket,դույլ,duyl
bulb,լամպ,lamp
button,կոճակ,kochak
cake,տորթ,tort'
camera,տեսախցիկ,tesakhts'ik
card,քարտ,k'art
cart,սայլ,sayl
carriage,կառք,karrk'
cat,կատու,katu
chain,շղթա,shght'a
cheese,պանիր,panir
chest,կրծքավանդակ,krtsk'avandak
chin,դունչ,dunch
church,եկեղեցի,yekeghets'i
circle,շրջան,shrjan
watch,ժամացույց,zhamats'uyts'
cloud,ամպ,amp
coat,վերարկու,verarku
collar,օձիք,odzik'
comb,սանր,sanr
wire,լար,lar
cow,կով,kov
cup,բաժակ,bazhak
curtain,վարագույր,varaguyr
cushion,բարձ,bardz
dog,շուն,shun
door,դուռ,durr
shelf,դարակ,darak
dress,զգեստ,zgest
drop,կաթիլ,kat'il
ear,ականջ,akanj
egg,ձու,dzu
engine,շարժիչ,sharzhich
eye,աչք,achk'
face,դեմք,demk'
farm,ֆերմա,ferma
feather,փետուր,p'etur
finger,մատ,mat
fish,ձուկ,dzuk
flag,դրոշ,drosh
floor,հատակ,hatak
fly,ճանճ,chanch
leg,ոտք,votk'
fork,պատառաքաղ,patarrak'agh
frame,շրջանակ,shrjanak
garden,պարտեզ,partez
girl,աղջիկ,aghjik
glove,ձեռնոց,dzerrnots'
goat,այծ,ayts
gun,ատրճանակ,atrchanak
hair,մազեր,mazer
hammer,մուրճ,murch
hand,ձեռք,dzerrk'
hat,գլխարկ,glkhark
head,գլուխ,glukh
heart,սիրտ,sirt
hook,կարթ,kart'
horn,եղջյուր,yeghjyur
horse,ձի,dzi
hospital,հիվանդանոց,hivandanots'
house,տուն,tun
island,կղզի,kghzi
jewel,գոհար,gohar
kettle,թեյնիկ,t'eynik
key,բանալի,banali
knee,ծունկ,tsunk
knife,դանակ,danak
knot,հանգույց,hanguyts'
leaf,տերև,terev
library,գրադարան,gradaran
line,գիծ,gits
lip,շրթունք,shrt'unk'
lock,կողպեք,koghpek'
map,քարտեզ,k'artez
match,լուցկի,luts'ki
monkey,կապիկ,kapik
moon,լուսին,lusin
mouth,բերան,beran
muscle,մկան,mkan
nail,մեխ,mekh
neck,վիզ,viz
needle,ասեղ,asegh
nerve,նյարդ,nyard
net,ցանց,ts'ants'
nose,քիթ,k'it'
nuts,չարազ,charaz
office,գրասենյակ,grasenyak
orange,նարինջ,narinj
oven,վառարան,varraran
parcel,ծանրոց,tsanrots'
pen,գրիչ,grich
pencil,մատիտ,matit
picture,նկար,nkar
pig,խոզ,khoz
pipe,խողովակ,khoghovak
plane,ինքնաթիռ,ink'nat'irr
plate,ափսե,ap'se
pocket,գրպան,grpan
pot,կաթսա,kat'sa
potato,կարտոֆիլ,kartofil
prison,բանտ,bant
pump,պոմպ,pomp
rail,ռելս,rrels
rat,առնետ,arrnet
receipt,ստացական,stats'akan
ring,մատանի,matani
rod,ձող,dzogh
roof,տանիք,tanik'
root,արմատ,armat
sail,առագաստ,arragast
school,դպրոց,dprots'
scissors,մկրատ,mkrat
screw,պտուտակ,ptutak
seed,սերմ,serm
sheep,ոչխար,vochkhar
ship,նավ,nav
shirt,վերնաշապիկ,vernashapik
skin,մաշկ,mashk
skirt,շրջազգեստ,shrjazgest
snake,օձ,odz
stocking,գուլպա,gulpa
spade/shovel,բահ,bah
sponge,սպունգ,spung
spoon,գդալ,gdal
spring,գարուն,garun
square,հրապարակ,hraparak
stamp,դրոշմանիշ,droshmanish
star,աստղ,astgh
station,կայարան,kayaran
stem,ցողուն,ts'oghun
wood,փայտ,p'ayt
stomach,ստամոքս,stamok's
store,խանութ,khanut'
street,փողոց,p'oghots'
sun,արև,arev
table,սեղան,seghan
tail,պոչ,poch
thread,թել,t'el
throat,կոկորդ,kokord
ticket,տոմս,toms
language,լեզու,lezu
tooth,ատամ,atam
town,քաղաք,k'aghak'
train,գնացք,gnats'k'
tray,սկուտեղ,skutegh
tree,ծառ,tsarr
trousers,տաբատ,tabat
umbrella,հովանոց,hovanots'
wall,պատ,pat
wheel,անիվ,aniv
whip,մտրակ,mtrak
whistle,սուլիչ,sulich
window,պատուհան,patuhan
worm,որդ,vord
account,հաշիվ,hashiv
operation,գործողություն,gortsoghut'yun
addition,լրացում,lrats'um
adjustment,ճշգրտում,chshgrtum
advertisement,գովազդ,govazd
agreement,համաձայնություն,hamadzaynut'yun
air,օդ,od
amount,գումար,gumar
amusement,զվարճանք,zvarchank'
living,կենդանի,kendani
answer,պատասխան,pataskhan
apparatus,ապարատ,aparat
approval,հաստատում,hastatum
argument,փաստարկ,p'astark
art,արվեստ,arvest
attack,հարձակում,hardzakum
experience,փորձ,p'ordz
attention,ուշադրություն,ushadrut'yun
attractive,գրավիչ,gravich
authority,հեղինակություն,heghinakut'yun
back,մեջք,mejk'
balance,հավասարակշռություն,havasarakshrrut'yun
base,հիմք,himk'
behavior,վարք,vark'
belief,հավատ,havat
birth,ծնունդ,tsnund
cloth,կտոր,ktor
bite,կծել,ktsel
blood,արյուն,aryun
blow,հարված,harvats
body,մարմին,marmin
bread,հաց,hats'
breath,շունչ,shunch
brother,եղբայր,yeghbayr
building,շենք,shenk'
burn,այրել,ayrel
burst,պայթել,payt'el
business,բիզնես,biznes
butter,կարագ,karag
canvas,կտավ,ktav
care,խնամք,khnamk'
reason,պատճառ,patcharr
chalk,կավիճ,kavich
chance,հնարավորություն,hnaravorut'yun
change,փոփոխություն,p'op'okhut'yun
coal,ածուխ,atsukh
color,գույն,guyn
comfort,հարմարավետություն,harmaravetut'yun
committee,կոմիտե,komite
company,ընկերություն,uhnkerut'yun
comparison,համեմատություն,hamematut'yun
competition,մրցակցություն,mrts'akts'ut'yun
condition,վիճակ,vichak
connection,կապ,kap
control,հսկողություն,hskoghut'yun
cook,խոհարար,khoharar
copper,պղինձ,pghindz
copy,պատճեն,patchen
cork,խցան,khts'an
cotton,բամբակ,bambak
cough,հազ,haz
earth,երկիր,yerkir
cover,ծածկ,tsatsk
crack,ճաք,chak'
credit,վարկ,vark
crime,հանցագործություն,hants'agortsut'yun
crush,ջախջախել,jakhjakhel
cry,լացել,lats'el
current(electrical),հոսանք,hosank'
curve,կոր,kor
damage,վնաս,vnas
danger,վտանգ,vtang
daughter,դուստր,dustr
day,օր,or
death,մահ,mah
debt,պարտք,partk'
decision,որոշում,voroshum
degree,աստիճան,astichan
design,դիզայն,dizayn
desire,ցանկություն,ts'ankut'yun
destruction,ոչնչացում,vochnchats'um
detail,մանրամասնություն,manramasnut'yun
development,զարգացում,zargats'um
digestion,մարսողություն,marsoghut'yun
direction,ուղղություն,ughghut'yun
discovery,բացահայտում,bats'ahaytum
discussion,քննարկում,k'nnarkum
disease,հիվանդություն,hivandut'yun
disgust,զզվանք,zzvank'
distance,հեռավորություն,herravorut'yun
distribution,բաշխում,bashkhum
division,բաժանում,bazhanum
doubt,կասկած,kaskats
drink,խմել,khmel
driving,քշել,k'shel
powder,փոշի,p'oshi
echo,արձագանք,ardzagank'
edge,եզր,yezr
education,կրթություն,krt'ut'yun
effect,ազդեցություն,azdets'ut'yun
end,վերջ,verj
wrong,սխալ,skhal
event,իրադարձություն,iradardzut'yun
example,օրինակ,orinak
exchange,փոխանակում,p'okhanakum
existence,գոյություն,goyut'yun
expansion,ընդլայնում,uhndlaynum
expert,փորձագետ,p'ordzaget
fact,փաստ,p'ast
fall,ընկնել,uhnknel
family,ընտանիք,uhntanik'
father,հայր,hayr
fear,վախ,vakh
sense,զգացում,zgats'um
fiction,հորինվածք,horinvatsk'
field,դաշտ,dasht
fight,պայքար,payk'ar
fire,կրակ,krak
flame,բոց,bots'
flight,թռիչք,t'rrichk'
flower,ծաղիկ,tsaghik
fold,ծալել,tsalel
food,սնունդ,snund
power,ուժ,uzh
way,ձև,dzev
friend,ընկեր,uhnker
front,դիմաց,dimats'
fruit,միրգ,mirg
glass,ապակի,apaki
gold,ոսկի,voski
government,կառավարություն,karravarut'yun
grain,հացահատիկ,hats'ahatik
grass,խոտ,khot
grip,բռնել,brrnel
group,խումբ,khumb
increase,աճ,ach
guide,ուղեցույց,ughets'uyts'
harbor,նավահանգիստ,navahangist
harmony,ներդաշնակություն,nerdashnakut'yun
hate,ատելություն,atelut'yun
hearing,լսողություն,lsoghut'yun
heat,ջերմություն,jermut'yun
help,օգնություն,ognut'yun
story,պատմություն,patmut'yun
hole,անցք,ants'k'
hope,հույս,huys
hour,ժամ,zham
humor,հումոր,humor
ice,սառույց,sarruyts'
idea,գաղափար,gaghap'ar
impulse,ազդակ,azdak
industry,արդյունաբերություն,ardyunaberut'yun
ink,թանաք,t'anak'
insect,միջատ,mijat
instrument,գործիք,gortsik'
insurance,ապահովագրություն,apahovagrut'yun
interest,հետաքրքրություն,hetak'rk'rut'yun
invention,գյուտ,gyut
iron,երկաթ,yerkat'
jelly,ժելե,zhele
join,միանալ,mianal
journey,ճանապարհորդել,chanaparhordel
judge,դատել,datel
jump,ցատկել,ts'atkel
kick,հարվածել,harvatsel
kiss,համբույր,hambuyr
knowledge,գիտելիք,gitelik'
land,հող,hogh
laugh,ծիծաղել,tsitsaghel
law,օրենք,orenk'
lead,կապար,kapar
learning,սովորել,sovorel
leather,կաշի,kashi
letter,տառ,tarr
level,մակարդակ,makardak
lift,բարձրացնել,bardzrats'nel
light,լույս,luys
limit,սահման,sahman
linen,սպիտակեղեն,spitakeghen
liquid,հեղուկ,heghuk
list,ցուցակ,ts'uts'ak
look,նայել,nayel
loss,կորուստ,korust
love,սեր,ser
machine,մեքենա,mek'ena
man,մարդ,mard
manager,մենեջեր,menejer
mark,նշել,nshel
market,շուկա,shuka
mass,զանգված,zangvats
meal,ուտելիք,utelik'
meaning,իմաստ,imast
measure,չափել,chap'el
meat,միս,mis
meeting,հանդիպում,handipum
memory,հիշողություն,hishoghut'yun
metal,մետաղ,metagh
middle,մեջտեղ,mejtegh
milk,կաթ,kat'
thought,միտք,mitk'
mine,իմ,im
minute,րոպե,rope
mist,մշուշ,mshush
money,փող,p'ogh
month,ամիս,amis
morning,առավոտ,arravot
mother,մայր,mayr
motion,շարժում,sharzhum
mountain,սար,sar
move,շարժվել,sharzhvel
music,երաժշտություն,yerazhshtut'yun
name,անուն,anun
nation,ազգ,azg
need,կարիք,karik'
news,նորություններ,norut'yunner
night,գիշեր,gisher
noise,աղմուկ,aghmuk
note,նշում,nshum
number,թիվ,t'iv
observation,դիտում,ditum
suggestion,առաջարկ,arrajark
oil,յուղ,yugh
opinion,կարծիք,kartsik'
order,կարգ,karg
organization,կազմակերպություն,kazmakerput'yun
ornament,զարդարանք,zardarank'
owner,սեփականատեր,sep'akanater
page,էջ,ej
pain,ցավ,ts'av
paint,ներկ,nerk
paper,թուղթ,t'ught'
part,մաս,mas
paste,մածուկ,matsuk
payment,վճարում,vcharum
peace,խաղաղություն,khaghaghut'yun
person,անձ,andz
place,տեղ,tegh
plant,բույս,buys
play,խաղ,khagh
pleasure,հաճույք,hachuyk'
point,կետ,ket
poison,թույն,t'uyn
polish,լաք,lak'
porter,բեռնակիր,berrnakir
position,դիրք,dirk'
price,գին,gin
print,տպել,tpel
process,մշակել,mshakel
produce,արտադրել,artadrel
profit,շահույթ,shahuyt'
property,ունեցվածք,unets'vatsk'
protest,բողոք,boghok'
pull,քաշել,k'ashel
punishment,պատիժ,patizh
purpose,նպատակ,npatak
push,սեղմել,seghmel
quality,որակ,vorak
question,հարց,harts'
rain,անձրև,andzrev
range,միջակայք,mijakayk'
ray,ճառագայթ,charragayt'
reaction,ռեակցիա,rreakts'ia
read,կարդալ,kardal
record,գրառել,grarrel
regret,ափսոսալ,ap'sosal
relation,հարաբերություն,haraberut'yun
religion,կրոն,kron
representative,ներկայացուցիչ,nerkayats'uts'ich
request,խնդրանք,khndrank'
respect,հարգանք,hargank'
rest,հանգիստ,hangist
reward,պարգև,pargev
rhythm,ռիթմ,rrit'm
rice,բրինձ,brindz
river,գետ,get
road,ճանապարհ,chanaparh
roll,գլորել,glorel
room,սենյակ,senyak
rub,քսել,k'sel
rule,կանոն,kanon
run,վազել,vazel
salt,աղ,agh
sand,ավազ,avaz
scale,մասշտաբ,masshtab
science,գիտություն,gitut'yun
sea,ծով,tsov
seat,նստատեղ,nstategh
secretary,քարտուղար,k'artughar
selection,ընտրություն,uhntrut'yun
i,ես,yes
servant,ծառա,tsarra
sex,սեռ,serr
shade,ստվեր,stver
shock,ցնցում,ts'nts'um
shame,ամոթ,amot'
side,կողմ,koghm
sign,նշան,nshan
silk,մետաքս,metak's
silver,արծաթ,artsat'
sister,քույր,k'uyr
size,չափ,chap'
sky,երկինք,yerkink'
sleep,քուն,k'un
slip,սայթաքել,sayt'ak'el
slope,թեքություն,t'ek'ut'yun
smash,կոտրվածք,kotrvatsk'
smell,հոտ,hot
smile,ժպիտ,zhpit
smoke,ծուխ,tsukh
sneeze,փռշտոց,p'rrshtots'
snow,ձյուն,dzyun
soap,օճառ,ocharr
society,հասարակություն,hasarakut'yun
son,որդի,vordi
song,երգ,yerg
sort,տեսակ,tesak
voice,ձայն,dzayn
soup,ապուր,apur
space,տարածություն,taratsut'yun
speed,արագություն,aragut'yun
stage,փուլ,p'ul
start,սկիզբ,skizb
statement,հայտարարություն,haytararut'yun
steam,գոլորշի,golorshi
steel,պողպատ,poghpat
step,քայլ,k'ayl
stitch,կար,kar
stone,քար,k'ar
stop,կանգնել,kangnel
stretch,ձգել,dzgel
structure,կառույց,karruyts'
substance,նյութ,nyut'
sugar,շաքար,shak'ar
summer,ամառ,amarr
support,աջակցություն,ajakts'ut'yun
surprise,անակնկալ,anaknkal
swim,լողալ,loghal
system,համակարգ,hamakarg
talk,խոսել,khosel
taste,համ,ham
tax,հարկ,hark
teaching,ուսուցում,usuts'um
tendency,միտում,mitum
test,ստուգել,stugel
theory,տեսություն,tesut'yun
thing,բան,ban
thunder,որոտ,vorot
time,ժամանակ,zhamanak
tin,անագ,anag
top,վերև,verev
touch,կպնել,kpnel
trade,առևտուր,arrevtur
transport,տրանսպորտ,transport
trick,հնարք,hnark'
trouble,փորձանք,p'ordzank'
turn,շրջել,shrjel
turn off,անջատել,anjatel
turn on,միացնել,miats'nel
twist,ոլորել,volorel
unit,միավոր,miavor
use,օգտագործել,ogtagortsel
value,արժեք,arzhek'
verse,չափածո,chap'atso
vessel,անոթ,anot'
view,տեսակետ,tesaket
walk,քայլել,k'aylel
war,պատերազմ,paterazm
wash,լվանալ,lvanal
waste,թափոններ,t'ap'onner
water,ջուր,jur
wave,ալիք,alik'
wax,մոմ,mom
weather,եղանակ,yeghanak
week,շաբաթ,shabat'
weight,քաշ,k'ash
wind,քամի,k'ami
wine,գինի,gini
winter,ձմեռ,dzmerr
female,կին,kin
wool,բուրդ,burd
word,բառ,barr
work,աշխատանք,ashkhatank'
wound,վերք,verk'
writing,գիր,gir
year,տարի,tari
able,ունակ,unak
acid,թթու,t't'u
angry,զայրացած,zayrats'ats
automatic,ավտոմատ,avtomat
beautiful,գեղեցիկ,geghets'ik
black,սև,sev
boiling,եռացող,yerrats'ogh
bright,պայծառ,paytsarr
broken,կոտրված,kotrvats
brown,շագանակագույն,shaganakaguyn
cheap,էժան,ezhan
chemical,քիմիական,k'imiakan
general,գլխավոր,glkhavor
clean,մաքուր,mak'ur
simple,պարզ,parz
common,ընդհանուր,uhndhanur
complex,բարդ,bard
conscious,գիտակից,gitakits'
cut,կտրված,ktrvats
deep,խոր,khor
hanging,կախված,kakhvats
early,վաղ,vagh
elastic,ճկուն,chkun
electric,էլեկտրական,elektrakan
equal,հավասար,havasar
fat,ճարպ,charp
fertile,բերրի,berri
first,առաջին,arrajin
fixed,ֆիքսված,fik'svats
flat,տափակ,tap'ak
free,ազատ,azat
frequent,հաճախակի,hachakhaki
full,լի,li
well,լավ,lav
great,հոյակապ,hoyakap
grey/gray,մոխրագույն,mokhraguyn
happy,ուրախ,urakh
hard,ծանր,tsanr
healthy,առողջ,arroghj
high,բարձր,bardzr
hollow,խոռոչ,khorroch
important,կարևոր,karevor
kind,բարի,bari
like,նման,nman
long,երկար,yerkar
male,տղամարդ,tghamard
married,ամուսնացած,amusnats'ats
material,նյութական,nyut'akan
medical,բժշկական,bzhshkakan
military,ռազմական,rrazmakan
natural,բնական,bnakan
necessary,անհրաժեշտ,anhrazhesht
new,նոր,nor
normal,նորմալ,normal
open,բաց,bats'
parallel,զուգահեռ,zugaherr
past,անցյալ,ants'yal
physical,ֆիզիկական,fizikakan
political,քաղաքական,k'aghak'akan
poor,աղքատ,aghk'at
possible,հնարավոր,hnaravor
present,ներկա,nerka
private,մասնավոր,masnavor
probable,հավանական,havanakan
quick,արագ,arag
quiet,հանդարտ,handart
ready,պատրաստ,patrast
red,կարմիր,karmir
regular,կանոնավոր,kanonavor
responsible,պատասխանատու,pataskhanatu
true,ճիշտ,chisht
round,կլոր,klor
same,նույն,nuyn
second,երկրորդ,yerkrord
separate,առանձին,arrandzin
serious,լուրջ,lurj
sharp,սուր,sur
smooth,հարթ,hart'
sticky,կպչուն,kpchun
straight,ուղիղ,ughigh
strong,ուժեղ,uzhegh
sudden,հանկարծակի,hankartsaki
sweet,քաղցր,k'aghts'r
tall,բարձրահասակ,bardzrahasak
thick,խիտ,khit
tired,հոգնած,hognats
violent,բռնի,brrni
wait,սպասել,spasel
warm,տաք,tak'
wet,թաց,t'ats'
wide,լայն,layn
wise,իմաստուն,imastun
yellow,դեղին,deghin
young,երիտասարդ,yeritasard
awake,արթուն,art'un
bad,վատ,vat
bent,ծուռ,tsurr
bitter,դառը,darruh
blue,կապույտ,kapuyt
certain,որոշակի,voroshaki
cold,սառը,sarruh
complete,ամբողջական,amboghjakan
cruel,դաժան,dazhan
dark,մութ,mut'
dead,մեռած,merrats
dear,սիրելի,sireli
delicate,նուրբ,nurb
different,տարբեր,tarber
dirty,կեղտոտ,keghtot
dry,չոր,chor
fake,կեղծ,keghts
feeble,թույլ,t'uyl
foolish,հիմար,himar
future,ապագա,apaga
green,կանաչ,kanach
ill,հիվանդ,hivand
last,վերջին,verjin
late,ուշ,ush
left,ձախ,dzakh
loose,չամրացված,chamrats'vats
loud,բարձրաձայն,bardzradzayn
low,ցածր,ts'atsr
mixed,խառը,kharruh
narrow,նեղ,negh
old,հին,hin
opposite,հակառակ,hakarrak
public,հասարակական,hasarakakan
rough,կոպիտ,kopit
sad,տխուր,tkhur
safe,անվտանգ,anvtang
secret,գաղտնի,gaghtni
short,կարճ,karch
shut,փակ,p'ak
slow,դանդաղ,dandagh
small,փոքր,p'ok'r
soft,փափուկ,p'ap'uk
solid,պինդ,pind
special,հատուկ,hatuk
strange,տարօրինակ,tarorinak
thin,բարակ,barak
white,սպիտակ,spitak
come,գալ,gal
get,ստանալ,stanal
give,տալ,tal
go,գնալ,gnal
keep,պահել,pahel
let,թողել,t'oghel
make,պատրաստել,patrastel
put,դնել,dnel
seem,թվալ,t'val
take,վերցնել,verts'nel
be,լինել,linel
do,անել,anel
have,ունենալ,unenal
say,ասել,asel
see,տեսնել,tesnel
send,ուղարկել,ugharkel
can,կարողանալ,karoghanal
will,կամք,kamk'
about,մասին,masin
after,հետո,heto
against,դեմ,dem
in,մեջ,mej
at,մոտ,mot
before,նախքան,nakhk'an
between,միջեւ,mije
by,կողմից,koghmits'
down,ներքև,nerk'ev
from,սկսած,sksats
on,վրա,vra
over,վրայով,vrayov
through,միջոցով,mijots'ov
to,դեպի,depi
under,տակ,tak
up,վեր,ver
with,հետ,het
how,ինչպես,inchpes
for,համար,hamar
till,մինչեւ,minche
than,քան,k'an
a,մի,mi
the,ը,uh
all,բոլորը,boloruh
any,ցանկացած,ts'ankats'ats
every,ամեն,amen
little,քիչ,k'ich
very,շատ,shat
not,ոչ,voch
other,այլ,ayl
such,այդպիսի,aydpisi
that,որ,vor
this,սա,sa
he,նա,na
you,դու,du
who,ով,vov
and,և,yev
because,որովհետեւ,vorovhete
but,բայց,bayts'
or,կամ,kam
if,եթե,yet'e
though,չնայած,chnayats
while,մինչդեռ,minchderr
when,երբ,yerb
where,որտեղ,vortegh
why,ինչու,inchu
again,նորից,norits'
ever,երբևէ,yerbeve
far,հեռու,herru
forward,առաջ,arraj
here,այստեղ,aystegh
near,մոտակայքում,motakayk'um
now,հիմա,hima
out,դուրս,durs
still,դեռ,derr
then,ապա,apa
there,այնտեղ,ayntegh
together,միասին,miasin
almost,գրեթե,gret'e
enough,բավական,bavakan
even,նույնիսկ,nuynisk
only,միայն,miayn
quite,բավականին,bavakanin
so,այսպիսով,ayspisov
tomorrow,վաղը,vaghuh
yesterday,երեկ,yerek
north,հյուսիս,hyusis
south,հարավ,harav
east,արևելք,arevelk'
west,արևմուտք,arevmutk'
please,խնդրեմ,khndrem
yes,այո,ayo
